team_id,team_name,color1,color2
9823,Bayern München,#0066b2,#F30107
9789,Borussia Dortmund,#000000,#fde100
178475,RB Leipzig,#001F47,#DD0741
8178,Bayer Leverkusen,#F3E500,#E32221
8149,Union Berlin,#000050,#FD1220
8177,Hertha BSC,#04003E,#21F7
8226,TSG Hoffenheim,#FFFFFF,#1C63B7
8358,Freiburg,#FFFFFF,#000000
8406,Augsburg,#46714D,#BA3733
8721,Wolfsburg,#FFFFFF,#65B32E
8722,1. FC Köln,#000000,#ED1C24
9788,Borussia M'Gladbach,#000000,#FFFFFF
9810,Eintracht Frankfurt,#000000,#E1000F
10269,VfB Stuttgart,#FFED00,#E32219
9905,Mainz 05,#AAE2F2,#FD1220
